Storage,Year,Value,,Unit,Source,Updated at,Updated by
S_Battery_Li-Ion,2018,1.5,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2020,1.5,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2025,1.5,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2026,1.8,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2027,2.1,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2028,2.4,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2029,2.7,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2030,3.0,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2031,3.3,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2032,3.6,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2033,3.9,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2034,4.2,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2035,4.5,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2036,4.8,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2037,5.1,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2038,5.4,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2039,5.7,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2040,6.0,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2045,6.0,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2050,6.0,,GWh/GW,E2P sensitivity: 6.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
